geoid,tract_name,median_income
17031010100,Census Tract 101; Cook County; Illinois,69460.0
17031010201,Census Tract 102.01; Cook County; Illinois,49639.0
17031010202,Census Tract 102.02; Cook County; Illinois,55119.0
17031010300,Census Tract 103; Cook County; Illinois,65871.0
17031010400,Census Tract 104; Cook County; Illinois,49017.0
17031010501,Census Tract 105.01; Cook County; Illinois,48250.0
17031010502,Census Tract 105.02; Cook County; Illinois,61367.0
17031010503,Census Tract 105.03; Cook County; Illinois,21924.0
17031010600,Census Tract 106; Cook County; Illinois,71920.0
17031010701,Census Tract 107.01; Cook County; Illinois,74208.0
17031010702,Census Tract 107.02; Cook County; Illinois,58289.0
17031020100,Census Tract 201; Cook County; Illinois,69850.0
17031020200,Census Tract 202; Cook County; Illinois,115559.0
17031020301,Census Tract 203.01; Cook County; Illinois,76327.0
17031020302,Census Tract 203.02; Cook County; Illinois,81563.0
17031020400,Census Tract 204; Cook County; Illinois,81840.0
17031020500,Census Tract 205; Cook County; Illinois,46458.0
17031020601,Census Tract 206.01; Cook County; Illinois,62015.0
17031020602,Census Tract 206.02; Cook County; Illinois,87804.0
17031020701,Census Tract 207.01; Cook County; Illinois,101250.0
17031020702,Census Tract 207.02; Cook County; Illinois,76812.0
17031020801,Census Tract 208.01; Cook County; Illinois,73151.0
17031020802,Census Tract 208.02; Cook County; Illinois,70044.0
17031020901,Census Tract 209.01; Cook County; Illinois,52378.0
17031020902,Census Tract 209.02; Cook County; Illinois,47963.0
17031030101,Census Tract 301.01; Cook County; Illinois,49132.0
17031030102,Census Tract 301.02; Cook County; Illinois,59622.0
17031030103,Census Tract 301.03; Cook County; Illinois,55651.0
17031030104,Census Tract 301.04; Cook County; Illinois,47330.0
17031030200,Census Tract 302; Cook County; Illinois,103758.0
17031030300,Census Tract 303; Cook County; Illinois,67143.0
17031030400,Census Tract 304; Cook County; Illinois,97442.0
17031030500,Census Tract 305; Cook County; Illinois,123464.0
17031030601,Census Tract 306.01; Cook County; Illinois,51136.0
17031030603,Census Tract 306.03; Cook County; Illinois,54415.0
17031030604,Census Tract 306.04; Cook County; Illinois,51032.0
17031030701,Census Tract 307.01; Cook County; Illinois,51625.0
17031030702,Census Tract 307.02; Cook County; Illinois,60133.0
17031030703,Census Tract 307.03; Cook County; Illinois,68861.0
17031030706,Census Tract 307.06; Cook County; Illinois,50431.0
17031030800,Census Tract 308; Cook County; Illinois,96719.0
17031030900,Census Tract 309; Cook County; Illinois,97375.0
17031031000,Census Tract 310; Cook County; Illinois,117114.0
17031031100,Census Tract 311; Cook County; Illinois,83352.0
17031031200,Census Tract 312; Cook County; Illinois,27869.0
17031031300,Census Tract 313; Cook County; Illinois,65617.0
17031031400,Census Tract 314; Cook County; Illinois,87500.0
17031031501,Census Tract 315.01; Cook County; Illinois,51731.0
17031031502,Census Tract 315.02; Cook County; Illinois,47674.0
17031031700,Census Tract 317; Cook County; Illinois,82774.0
17031031800,Census Tract 318; Cook County; Illinois,86159.0
17031031900,Census Tract 319; Cook County; Illinois,92208.0
17031032100,Census Tract 321; Cook County; Illinois,71804.0
17031040100,Census Tract 401; Cook County; Illinois,94318.0
17031040201,Census Tract 402.01; Cook County; Illinois,103409.0
17031040202,Census Tract 402.02; Cook County; Illinois,62500.0
17031040300,Census Tract 403; Cook County; Illinois,79896.0
17031040401,Census Tract 404.01; Cook County; Illinois,103750.0
17031040402,Census Tract 404.02; Cook County; Illinois,94541.0
17031040600,Census Tract 406; Cook County; Illinois,90921.0
17031040700,Census Tract 407; Cook County; Illinois,109205.0
17031040800,Census Tract 408; Cook County; Illinois,110179.0
17031040900,Census Tract 409; Cook County; Illinois,92167.0
17031050100,Census Tract 501; Cook County; Illinois,114063.0
17031050200,Census Tract 502; Cook County; Illinois,124167.0
