geoid,tract_name,median_income,workers_total,workers_car,workers_public,workers_walk,workers_other,workers_home,pct_car,pct_public,pct_walk,pct_other,pct_home,hh_total,hh_no_vehicle,hh_one_vehicle,hh_two_vehicle,hh_three_plus_vehicle,pct_hh_no_vehicle,pct_hh_one_vehicle,pct_hh_two_vehicle,pct_hh_three_plus_vehicle,mean_travel_time_min
17031010100,Census Tract 101; Cook County; Illinois,69460.0,2279,783,571,99,242,523,0.3435717419921018,0.2505484861781483,0.0434401053093462,0.1061869240895129,0.2294866169372531,2190,820,1161,193,16,0.3744292237442922,0.5301369863013699,0.0881278538812785,0.0073059360730593,29.266666666666666
17031010201,Census Tract 102.01; Cook County; Illinois,49639.0,3681,2094,903,61,209,414,0.5688671556642216,0.2453137734311328,0.0165715838087476,0.0567780494430861,0.1124694376528117,3038,942,1403,599,94,0.3100724160631994,0.4618169848584595,0.1971691902567478,0.0309414088215931,54.45
17031010202,Census Tract 102.02; Cook County; Illinois,55119.0,1292,564,493,0,0,194,0.436532507739938,0.3815789473684211,0.0,0.0,0.1501547987616099,1130,352,625,113,16,0.311504424778761,0.5530973451327433,0.1,0.0141592920353982,18.3
17031010300,Census Tract 103; Cook County; Illinois,65871.0,3664,1739,1042,104,17,762,0.474617903930131,0.2843886462882096,0.0283842794759825,0.0046397379912663,0.2079694323144104,3185,1326,1245,614,0,0.4163265306122449,0.390894819466248,0.192778649921507,0.0,48.36666666666667
17031010400,Census Tract 104; Cook County; Illinois,49017.0,2150,737,721,26,195,471,0.3427906976744186,0.3353488372093023,0.0120930232558139,0.0906976744186046,0.2190697674418604,2058,980,884,157,37,0.4761904761904761,0.4295432458697765,0.0762876579203109,0.0179786200194363,27.98333333333333
17031010501,Census Tract 105.01; Cook County; Illinois,48250.0,2360,775,901,75,113,409,0.3283898305084746,0.3817796610169491,0.0317796610169491,0.0478813559322033,0.1733050847457627,2379,1268,1020,53,38,0.5329970575872215,0.4287515762925599,0.0222782681799075,0.015973097940311,32.516666666666666
17031010502,Census Tract 105.02; Cook County; Illinois,61367.0,2007,665,701,17,119,469,0.3313403089187842,0.3492775286497259,0.0084703537618335,0.059292476332835,0.2336821126058794,1637,631,741,221,44,0.3854612095296273,0.4526572999389126,0.1350030543677458,0.0268784361637141,25.633333333333333
17031010503,Census Tract 105.03; Cook County; Illinois,21924.0,1342,436,468,22,145,262,0.3248882265275707,0.3487332339791356,0.0163934426229508,0.1080476900149031,0.195230998509687,1477,820,416,202,39,0.5551794177386594,0.2816519972918077,0.1367637102234258,0.0264048747461069,18.0
17031010600,Census Tract 106; Cook County; Illinois,71920.0,4127,1735,958,188,209,931,0.4204022292221953,0.2321298764235522,0.0455536709474194,0.0506421129149503,0.2255875938938696,3066,1150,1310,606,0,0.3750815394651011,0.4272667971298108,0.197651663405088,0.0,53.266666666666666
17031010701,Census Tract 107.01; Cook County; Illinois,74208.0,2086,1075,330,53,104,493,0.5153403643336529,0.1581975071907957,0.0254074784276126,0.049856184084372,0.2363374880153403,1652,246,942,441,15,0.148910411622276,0.5702179176755447,0.2669491525423729,0.0090799031476997,26.55
17031010702,Census Tract 107.02; Cook County; Illinois,58289.0,2448,1155,626,67,100,364,0.471813725490196,0.255718954248366,0.0273692810457516,0.0408496732026143,0.1486928104575163,1998,590,1057,339,12,0.2952952952952953,0.529029029029029,0.1696696696696696,0.006006006006006,34.733333333333334
17031020100,Census Tract 201; Cook County; Illinois,69850.0,2202,1634,235,0,67,220,0.7420526793823796,0.1067211625794732,0.0,0.0304268846503178,0.0999091734786557,1644,124,1007,484,29,0.0754257907542579,0.6125304136253041,0.2944038929440389,0.017639902676399,33.03333333333333
17031020200,Census Tract 202; Cook County; Illinois,115559.0,2824,2107,358,0,93,218,0.7461048158640227,0.126770538243626,0.0,0.0329320113314447,0.0771954674220963,1999,26,924,719,227,0.0130065032516258,0.4622311155577789,0.35967983991996,0.1135567783891946,43.43333333333333
17031020301,Census Tract 203.01; Cook County; Illinois,76327.0,1915,1548,213,0,65,71,0.808355091383812,0.1112271540469973,0.0,0.0339425587467362,0.0370757180156657,2093,384,858,722,103,0.1834687052078356,0.4099378881987577,0.3449593884376493,0.04921165790731,30.73333333333333
17031020302,Census Tract 203.02; Cook County; Illinois,81563.0,1948,1107,374,42,57,302,0.5682751540041068,0.1919917864476386,0.0215605749486652,0.0292607802874743,0.1550308008213552,1711,174,816,593,128,0.1016949152542373,0.4769140853302162,0.3465809468147282,0.0748100526008182,27.433333333333334
17031020400,Census Tract 204; Cook County; Illinois,81840.0,2181,1573,285,0,70,237,0.7212287941311325,0.1306740027510316,0.0,0.0320953690967446,0.108665749656121,1707,193,795,556,146,0.1130638547158758,0.4657293497363796,0.325717633274751,0.0855301698886936,32.4
17031020500,Census Tract 205; Cook County; Illinois,46458.0,2686,1615,502,88,138,292,0.6012658227848101,0.1868950111690245,0.0327624720774385,0.0513775130305286,0.1087118391660461,2184,554,963,629,23,0.2536630036630036,0.4409340659340659,0.288003663003663,0.0105311355311355,39.9
17031020601,Census Tract 206.01; Cook County; Illinois,62015.0,2243,1382,180,43,228,368,0.6161390994204191,0.0802496656263932,0.0191707534551939,0.101649576460098,0.1640659830584039,2052,369,750,811,80,0.1798245614035087,0.3654970760233918,0.395224171539961,0.0389863547758284,31.25
17031020602,Census Tract 206.02; Cook County; Illinois,87804.0,2683,2090,142,15,2,405,0.7789787551248603,0.0529258292955646,0.0055907566157286,0.0007454342154304,0.1509504286246738,1611,168,630,533,82,0.1042830540037244,0.3910614525139664,0.3308504034761018,0.0509000620732464,37.96666666666667
17031020701,Census Tract 207.01; Cook County; Illinois,101250.0,847,618,45,0,22,160,0.7296340023612751,0.0531286894923258,0.0,0.0259740259740259,0.1889020070838252,748,31,288,368,39,0.0414438502673796,0.3850267379679144,0.4919786096256685,0.052139037433155,11.45
17031020702,Census Tract 207.02; Cook County; Illinois,76812.0,3422,2690,294,0,141,203,0.7860900058445354,0.0859146697837521,0.0,0.0412039742840444,0.059322033898305,2487,360,1058,886,152,0.1447527141133896,0.4254121431443506,0.3562525130679533,0.0611178126256534,53.65
17031020801,Census Tract 208.01; Cook County; Illinois,73151.0,2350,1582,214,27,85,423,0.6731914893617021,0.091063829787234,0.0114893617021276,0.0361702127659574,0.18,2164,255,1159,626,87,0.1178373382624769,0.5355822550831792,0.2892791127541589,0.0402033271719038,32.11666666666667
