geoid,tract_name,hh_total,hh_no_vehicle,hh_one_vehicle,hh_two_vehicle,hh_three_plus_vehicle,pct_hh_no_vehicle,pct_hh_one_vehicle,pct_hh_two_vehicle,pct_hh_three_plus_vehicle
17031010100,Census Tract 101; Cook County; Illinois,2190,820,1161,193,16,0.3744292237442922,0.5301369863013699,0.08812785388127854,0.0073059360730593605
17031010201,Census Tract 102.01; Cook County; Illinois,3038,942,1403,599,94,0.31007241606319946,0.4618169848584595,0.19716919025674787,0.030941408821593155
17031010202,Census Tract 102.02; Cook County; Illinois,1130,352,625,113,16,0.31150442477876106,0.5530973451327433,0.1,0.01415929203539823
17031010300,Census Tract 103; Cook County; Illinois,3185,1326,1245,614,0,0.4163265306122449,0.39089481946624804,0.19277864992150706,0.0
17031010400,Census Tract 104; Cook County; Illinois,2058,980,884,157,37,0.47619047619047616,0.4295432458697765,0.07628765792031098,0.017978620019436346
17031010501,Census Tract 105.01; Cook County; Illinois,2379,1268,1020,53,38,0.5329970575872215,0.4287515762925599,0.022278268179907523,0.015973097940311057
17031010502,Census Tract 105.02; Cook County; Illinois,1637,631,741,221,44,0.38546120952962737,0.4526572999389126,0.13500305436774587,0.02687843616371411
17031010503,Census Tract 105.03; Cook County; Illinois,1477,820,416,202,39,0.5551794177386594,0.28165199729180773,0.13676371022342587,0.026404874746106973
17031010600,Census Tract 106; Cook County; Illinois,3066,1150,1310,606,0,0.3750815394651011,0.4272667971298108,0.19765166340508805,0.0
17031010701,Census Tract 107.01; Cook County; Illinois,1652,246,942,441,15,0.14891041162227603,0.5702179176755447,0.2669491525423729,0.009079903147699757
17031010702,Census Tract 107.02; Cook County; Illinois,1998,590,1057,339,12,0.2952952952952953,0.529029029029029,0.16966966966966968,0.006006006006006006
17031020100,Census Tract 201; Cook County; Illinois,1644,124,1007,484,29,0.07542579075425791,0.6125304136253041,0.2944038929440389,0.017639902676399026
17031020200,Census Tract 202; Cook County; Illinois,1999,26,924,719,227,0.013006503251625813,0.4622311155577789,0.35967983991996,0.1135567783891946
17031020301,Census Tract 203.01; Cook County; Illinois,2093,384,858,722,103,0.18346870520783565,0.40993788819875776,0.3449593884376493,0.04921165790731008
