"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","136,196,004","±149,841"
"    Less than 5 minutes","4,124,915","±39,867"
"    5 to 9 minutes","13,077,496","±70,432"
"    10 to 14 minutes","18,169,166","±78,233"
"    15 to 19 minutes","21,029,849","±87,595"
"    20 to 24 minutes","19,596,367","±75,382"
"    25 to 29 minutes","9,443,172","±65,220"
"    30 to 34 minutes","18,756,603","±94,527"
"    35 to 39 minutes","4,386,083","±36,248"
"    40 to 44 minutes","5,266,525","±54,848"
"    45 to 59 minutes","10,748,601","±60,239"
"    60 to 89 minutes","7,933,423","±56,711"
"    90 or more minutes","3,663,804","±35,645"
