"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","165,360,450","±170,737"
"    Car, truck, or van:","129,643,168","±167,691"
"        Drove alone","114,469,546","±171,228"
"        Carpooled:","15,173,622","±86,362"
"            In 2-person carpool","11,066,823","±65,751"
"            In 3-person carpool","2,382,096","±35,641"
"            In 4-person carpool","969,379","±27,776"
"            In 5- or 6-person carpool","532,261","±19,456"
"            In 7-or-more-person carpool","223,063","±10,621"
"    Public transportation:","6,097,425","±45,794"
"        Bus","2,771,518","±34,452"
"        Subway or elevated rail","2,411,200","±29,691"
"        Long-distance train or commuter rail","677,146","±15,645"
"        Light rail, streetcar or trolley (carro público in Puerto Rico)","167,493","±9,302"
"        Ferryboat","70,068","±4,743"
"    Taxi or ride-hailing services","693,439","±17,463"
"    Motorcycle","211,280","±9,555"
"    Bicycle","803,184","±17,630"
"    Walked","4,048,560","±42,195"
"    Other means","1,837,023","±29,152"
"    Worked from home","22,026,371","±86,199"
