"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"0100000US","United States","157645183","166534","124059213","138960","110653318","98643","13405895","59144","9987277","43278","2030377","19509","777394","10795","406853","6119","203994","3691","5528841","19922","2629321","14403","2117756","14076","569246","6702","148661","3626","63857","2535","357134","6050","196174","3988","705862","7374","3785388","18195","1745198","13594","21267373","54435",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","2279","525","783","326","690","297","93","110","62","96","31","56","0","12","0","12","0","12","571","232","182","140","389","197","0","12","0","12","0","12","21","34","11","20","99","157","242","119","29","50","523","240",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","3681","561","2094","420","1815","423","279","158","202","133","77","87","0","17","0","17","0","17","903","426","581","359","322","198","0","17","0","17","0","17","0","17","0","17","61","74","209","122","0","17","414","246",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","1292","234","564","191","487","185","77","66","66","64","11","17","0","12","0","12","0","12","493","200","170","87","295","140","28","33","0","12","0","12","0","12","0","12","0","12","0","12","41","32","194","87",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","3664","605","1739","553","1471","537","268","164","157","137","58","86","53","59","0","17","0","17","1042","261","308","189","711","224","23","36","0","17","0","17","0","17","0","17","104","112","17","27","0","17","762","240",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","2150","338","737","214","709","206","28","45","28","45","0","12","0","12","0","12","0","12","721","248","257","187","412","157","52","83","0","12","0","12","0","12","0","12","26","34","195","123","0","12","471","202",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","2360","510","775","302","747","299","28","43","28","43","0","12","0","12","0","12","0","12","901","329","61","75","809","316","31","34","0","12","0","12","43","69","0","12","75","51","113","86","44","71","409","170",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","2007","271","665","231","590","224","75","61","69","59","6","18","0","12","0","12","0","12","701","196","300","117","318","148","71","88","12","19","0","12","0","12","0","12","17","20","119","87","36","43","469","122",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","1342","284","436","140","400","140","36","32","36","32","0","12","0","12","0","12","0","12","468","189","133","83","315","163","0","12","20","18","0","12","0","12","0","12","22","34","145","86","9","15","262","116",
"1400000US17031010600","Census Tract 106; Cook County; Illinois","4127","596","1735","547","1613","515","122","80","71","70","36","59","10","18","0","17","5","16","958","286","195","146","689","259","74","62","0","17","0","17","35","55","0","17","188","174","209","188","71","87","931","309",
"1400000US17031010701","Census Tract 107.01; Cook County; Illinois","2086","277","1075","266","1007","259","68","50","30","35","36","36","2","3","0","12","0","12","330","125","67","55","141","78","122","80","0","12","0","12","31","30","0","12","53","56","104","56","0","12","493","176",
"1400000US17031010702","Census Tract 107.02; Cook County; Illinois","2448","243","1155","246","891","182","264","224","264","224","0","17","0","17","0","17","0","17","626","175","197","130","327","152","102","79","0","17","0","17","110","134","26","42","67","85","100","77","0","17","364","101",
"1400000US17031020100","Census Tract 201; Cook County; Illinois","2202","321","1634","303","1328","307","306","154","147","85","46","39","95","141","18","31","0","12","235","171","174","145","53","35","8","20","0","12","0","12","33","30","0","12","0","12","67","61","13","20","220","117",
"1400000US17031020200","Census Tract 202; Cook County; Illinois","2824","527","2107","409","1736","412","371","225","111","91","79","116","112","141","28","45","41","45","358","255","172","162","174","204","12","19","0","17","0","17","31","46","0","17","0","17","93","69","17","26","218","90",
"1400000US17031020301","Census Tract 203.01; Cook County; Illinois","1915","352","1548","368","1295","342","253","185","205","161","14","23","34","46","0","12","0","12","213","137","143","127","45","44","25","41","0","12","0","12","0","12","0","12","0","12","65","58","18","27","71","58",
