"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)",
"0100000US","United States","78538","176",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","69460","21834",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","49639","24247",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","55119","15618",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","65871","14559",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","49017","8306",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","48250","9460",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","61367","9643",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","21924","6272",
"1400000US17031010600","Census Tract 106; Cook County; Illinois","71920","17025",
"1400000US17031010701","Census Tract 107.01; Cook County; Illinois","74208","13404",
"1400000US17031010702","Census Tract 107.02; Cook County; Illinois","58289","7232",
"1400000US17031020100","Census Tract 201; Cook County; Illinois","69850","13376",
"1400000US17031020200","Census Tract 202; Cook County; Illinois","115559","15268",
"1400000US17031020301","Census Tract 203.01; Cook County; Illinois","76327","14844",
"1400000US17031020302","Census Tract 203.02; Cook County; Illinois","81563","19335",
"1400000US17031020400","Census Tract 204; Cook County; Illinois","81840","29768",
"1400000US17031020500","Census Tract 205; Cook County; Illinois","46458","15627",
"1400000US17031020601","Census Tract 206.01; Cook County; Illinois","62015","8362",
"1400000US17031020602","Census Tract 206.02; Cook County; Illinois","87804","28781",
"1400000US17031020701","Census Tract 207.01; Cook County; Illinois","101250","31236",
"1400000US17031020702","Census Tract 207.02; Cook County; Illinois","76812","12642",
"1400000US17031020801","Census Tract 208.01; Cook County; Illinois","73151","19716",
"1400000US17031020802","Census Tract 208.02; Cook County; Illinois","70044","14642",
"1400000US17031020901","Census Tract 209.01; Cook County; Illinois","52378","10769",
"1400000US17031020902","Census Tract 209.02; Cook County; Illinois","47963","9634",
"1400000US17031030101","Census Tract 301.01; Cook County; Illinois","49132","12273",
"1400000US17031030102","Census Tract 301.02; Cook County; Illinois","59622","4841",
"1400000US17031030103","Census Tract 301.03; Cook County; Illinois","55651","4515",
"1400000US17031030104","Census Tract 301.04; Cook County; Illinois","47330","10580",
"1400000US17031030200","Census Tract 302; Cook County; Illinois","103758","14111",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","67143","20161",
"1400000US17031030400","Census Tract 304; Cook County; Illinois","97442","24413",
"1400000US17031030500","Census Tract 305; Cook County; Illinois","123464","10968",
"1400000US17031030601","Census Tract 306.01; Cook County; Illinois","51136","15508",
"1400000US17031030603","Census Tract 306.03; Cook County; Illinois","54415","11121",
"1400000US17031030604","Census Tract 306.04; Cook County; Illinois","51032","12473",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","51625","10249",
"1400000US17031030702","Census Tract 307.02; Cook County; Illinois","60133","9808",
"1400000US17031030703","Census Tract 307.03; Cook County; Illinois","68861","14658",
"1400000US17031030706","Census Tract 307.06; Cook County; Illinois","50431","11813",
"1400000US17031030800","Census Tract 308; Cook County; Illinois","96719","14232",
"1400000US17031030900","Census Tract 309; Cook County; Illinois","97375","21566",
"1400000US17031031000","Census Tract 310; Cook County; Illinois","117114","33312",
"1400000US17031031100","Census Tract 311; Cook County; Illinois","83352","16392",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","27869","11133",
"1400000US17031031300","Census Tract 313; Cook County; Illinois","65617","5878",
"1400000US17031031400","Census Tract 314; Cook County; Illinois","87500","9765",
"1400000US17031031501","Census Tract 315.01; Cook County; Illinois","51731","10518",
"1400000US17031031502","Census Tract 315.02; Cook County; Illinois","47674","3553",
"1400000US17031031700","Census Tract 317; Cook County; Illinois","82774","18373",
"1400000US17031031800","Census Tract 318; Cook County; Illinois","86159","8418",
"1400000US17031031900","Census Tract 319; Cook County; Illinois","92208","18736",
"1400000US17031032100","Census Tract 321; Cook County; Illinois","71804","15975",
"1400000US17031040100","Census Tract 401; Cook County; Illinois","94318","19467",
"1400000US17031040201","Census Tract 402.01; Cook County; Illinois","103409","11603",
"1400000US17031040202","Census Tract 402.02; Cook County; Illinois","62500","15343",
"1400000US17031040300","Census Tract 403; Cook County; Illinois","79896","25175",
"1400000US17031040401","Census Tract 404.01; Cook County; Illinois","103750","25396",
"1400000US17031040402","Census Tract 404.02; Cook County; Illinois","94541","17237",
"1400000US17031040600","Census Tract 406; Cook County; Illinois","90921","35811",
"1400000US17031040700","Census Tract 407; Cook County; Illinois","109205","22039",
"1400000US17031040800","Census Tract 408; Cook County; Illinois","110179","16247",
"1400000US17031040900","Census Tract 409; Cook County; Illinois","92167","23972",
"1400000US17031050100","Census Tract 501; Cook County; Illinois","114063","27165",
"1400000US17031050200","Census Tract 502; Cook County; Illinois","124167","23134",
"1400000US17031050300","Census Tract 503; Cook County; Illinois","166681","39269",
"1400000US17031050500","Census Tract 505; Cook County; Illinois","144250","20016",
"1400000US17031050600","Census Tract 506; Cook County; Illinois","114940","53801",
"1400000US17031050700","Census Tract 507; Cook County; Illinois","130699","21475",
"1400000US17031050800","Census Tract 508; Cook County; Illinois","157813","44622",
"1400000US17031050900","Census Tract 509; Cook County; Illinois","136053","12566",
"1400000US17031051000","Census Tract 510; Cook County; Illinois","184464","41600",
