"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_002E","B08201_002M","B08201_003E","B08201_003M","B08201_004E","B08201_004M","B08201_005E","B08201_005M","B08201_006E","B08201_006M","B08201_007E","B08201_007M","B08201_008E","B08201_008M","B08201_009E","B08201_009M","B08201_010E","B08201_010M","B08201_011E","B08201_011M","B08201_012E","B08201_012M","B08201_013E","B08201_013M","B08201_014E","B08201_014M","B08201_015E","B08201_015M","B08201_016E","B08201_016M","B08201_017E","B08201_017M","B08201_018E","B08201_018M","B08201_019E","B08201_019M","B08201_020E","B08201_020M","B08201_021E","B08201_021M","B08201_022E","B08201_022M","B08201_023E","B08201_023M","B08201_024E","B08201_024M","B08201_025E","B08201_025M","B08201_026E","B08201_026M","B08201_027E","B08201_027M","B08201_028E","B08201_028M","B08201_029E","B08201_029M","B08201_030E","B08201_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!1-person household:","Margin of Error!!Total:!!1-person household:","Estimate!!Total:!!1-person household:!!No vehicle available","Margin of Error!!Total:!!1-person household:!!No vehicle available","Estimate!!Total:!!1-person household:!!1 vehicle available","Margin of Error!!Total:!!1-person household:!!1 vehicle available","Estimate!!Total:!!1-person household:!!2 vehicles available","Margin of Error!!Total:!!1-person household:!!2 vehicles available","Estimate!!Total:!!1-person household:!!3 vehicles available","Margin of Error!!Total:!!1-person household:!!3 vehicles available","Estimate!!Total:!!1-person household:!!4 or more vehicles available","Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Estimate!!Total:!!2-person household:","Margin of Error!!Total:!!2-person household:","Estimate!!Total:!!2-person household:!!No vehicle available","Margin of Error!!Total:!!2-person household:!!No vehicle available","Estimate!!Total:!!2-person household:!!1 vehicle available","Margin of Error!!Total:!!2-person household:!!1 vehicle available","Estimate!!Total:!!2-person household:!!2 vehicles available","Margin of Error!!Total:!!2-person household:!!2 vehicles available","Estimate!!Total:!!2-person household:!!3 vehicles available","Margin of Error!!Total:!!2-person household:!!3 vehicles available","Estimate!!Total:!!2-person household:!!4 or more vehicles available","Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Estimate!!Total:!!3-person household:","Margin of Error!!Total:!!3-person household:","Estimate!!Total:!!3-person household:!!No vehicle available","Margin of Error!!Total:!!3-person household:!!No vehicle available","Estimate!!Total:!!3-person household:!!1 vehicle available","Margin of Error!!Total:!!3-person household:!!1 vehicle available","Estimate!!Total:!!3-person household:!!2 vehicles available","Margin of Error!!Total:!!3-person household:!!2 vehicles available","Estimate!!Total:!!3-person household:!!3 vehicles available","Margin of Error!!Total:!!3-person household:!!3 vehicles available","Estimate!!Total:!!3-person household:!!4 or more vehicles available","Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Estimate!!Total:!!4-or-more-person household:","Margin of Error!!Total:!!4-or-more-person household:","Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available",
"0100000US","United States","127482865","208633","10602826","23823","41895953","52003","46938942","138141","18660145","63419","9384999","23216","36336345","68777","6374642","20681","24012938","66376","4639823","15924","924541","9871","384401","5450","43109480","59449","2259784","13314","10276315","27813","22889754","51910","5782067","22249","1901560","9551","19621111","103747","934583","8534","3878755","15644","7745870","62369","5246048","31922","1815855","14396","28415929","43335","1033817","7783","3727945","26324","11663495","43812","6707489","27017","5283183","21343",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","2190","339","820","275","1161","290","193","129","16","26","0","12","1172","329","532","203","613","264","11","20","16","26","0","12","812","271","231","133","429","212","152","116","0","12","0","12","178","138","29","50","119","125","30","33","0","12","0","12","28","50","28","50","0","12","0","12","0","12","0","12",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","3038","328","942","339","1403","351","599","219","94","106","0","17","986","325","434","219","552","253","0","17","0","17","0","17","983","260","276","190","462","212","245","127","0","17","0","17","436","226","207","165","43","42","186","153","0","17","0","17","633","215","25","39","346","160","168","113","94","106","0","17",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","1130","160","352","111","625","152","113","68","16","25","24","33","469","101","218","75","251","91","0","12","0","12","0","12","357","101","108","76","181","80","68","51","0","12","0","12","171","134","9","15","111","113","35","41","16","25","0","12","133","50","17","28","82","23","10","17","0","12","24","33",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","3185","305","1326","287","1245","303","614","291","0","17","0","17","1790","305","1216","279","564","205","10","16","0","17","0","17","793","211","110","80","402","166","281","150","0","17","0","17","490","300","0","17","256","179","234","257","0","17","0","17","112","84","0","17","23","37","89","76","0","17","0","17",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","2058","465","980","490","884","211","157","86","37","42","0","12","1404","457","794","466","610","176","0","12","0","12","0","12","562","155","170","123","216","114","157","86","19","31","0","12","92","66","16","26","58","54","0","12","18","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","2379","302","1268","261","1020","280","53","64","38","59","0","12","1627","232","951","242","676","204","0","12","0","12","0","12","515","182","290","159","225","103","0","12","0","12","0","12","117","89","13","21","29","34","37","59","38","59","0","12","120","146","14","24","90","142","16","25","0","12","0","12",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","1637","145","631","136","741","129","221","108","44","41","0","12","720","164","373","131","347","107","0","12","0","12","0","12","627","169","222","108","271","95","122","98","12","18","0","12","116","47","25","28","52","37","17","15","22","34","0","12","174","83","11","18","71","48","82","85","10","15","0","12",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","1477","125","820","165","416","113","202","83","39","56","0","12","745","160","558","151","133","74","54","60","0","12","0","12","386","147","204","127","117","76","65","45","0","12","0","12","181","82","40","55","82","43","59","50","0","12","0","12","165","79","18","26","84","51","24","28","39","56","0","12",
"1400000US17031010600","Census Tract 106; Cook County; Illinois","3066","303","1150","310","1310","315","606","243","0","17","0","17","1160","267","726","251","434","193","0","17","0","17","0","17","1050","232","235","112","483","164","332","132","0","17","0","17","447","266","139","168","277","204","31","34","0","17","0","17","409","248","50","62","116","154","243","202","0","17","0","17",
"1400000US17031010701","Census Tract 107.01; Cook County; Illinois","1652","193","246","85","942","215","441","140","15","21","8","12","571","138","113","57","458","126","0","12","0","12","0","12","603","147","127","87","264","100","205","98","7","15","0","12","289","178","6","12","157","168","126","65","0","12","0","12","189","87","0","12","63","59","110","72","8","13","8","12",
"1400000US17031010702","Census Tract 107.02; Cook County; Illinois","1998","164","590","165","1057","230","339","166","12","30","0","17","856","192","358","137","465","157","33","41","0","17","0","17","586","186","135","82","253","109","198","137","0","17","0","17","110","71","0","17","70","63","28","32","12","30","0","17","446","153","97","77","269","159","80","82","0","17","0","17",
"1400000US17031020100","Census Tract 201; Cook County; Illinois","1644","168","124","64","1007","213","484","169","29","29","0","12","429","131","77","46","352","120","0","12","0","12","0","12","566","229","13","19","382","216","156","99","15","22","0","12","332","123","0","12","168","87","158","92","6","10","0","12","317","123","34","37","105","74","170","119","8","15","0","12",
"1400000US17031020200","Census Tract 202; Cook County; Illinois","1999","266","26","29","924","292","719","175","227","116","103","115","237","117","9","14","174","99","54","80","0","17","0","17","407","148","17","26","172","99","218","100","0","17","0","17","253","121","0","17","90","69","35","42","128","90","0","17","1102","268","0","17","488","247","412","131","99","88","103","115",
"1400000US17031020301","Census Tract 203.01; Cook County; Illinois","2093","260","384","153","858","240","722","239","103","73","26","32","891","163","312","137","521","154","37","59","0","12","21","32","575","244","72","90","176","77","327","212","0","12","0","12","250","166","0","12","126","154","124","59","0","12","0","12","377","94","0","12","35","39","234","94","103","73","5","8",
